date,capacity,price,product
12.02.2022,4,98,IronWolf
12.02.2022,6,162,IronWolf
12.02.2022,8,219,IronWolf
12.02.2022,10,269,IronWolf
12.02.2022,12,303,IronWolf
12.02.2022,16,480,IronWolf
12.02.2022,4,99,Red Plus
12.02.2022,6,163,Red Plus
12.02.2022,8,228,Red Plus
12.02.2022,10,289,Red Plus
12.02.2022,12,339,Red Plus
12.02.2022,14,389,Red Plus
13.02.2022,4,98,IronWolf
13.02.2022,6,166,IronWolf
13.02.2022,8,219,IronWolf
13.02.2022,10,269,IronWolf
13.02.2022,12,303,IronWolf
13.02.2022,16,480,IronWolf
13.02.2022,4,99,Red Plus
13.02.2022,6,163,Red Plus
13.02.2022,8,228,Red Plus
13.02.2022,10,289,Red Plus
13.02.2022,12,339,Red Plus
13.02.2022,14,389,Red Plus

14.02.2022,4,98,IronWolf
14.02.2022,6,165,IronWolf
14.02.2022,8,219,IronWolf
14.02.2022,10,269,IronWolf
14.02.2022,12,303,IronWolf
14.02.2022,16,480,IronWolf
14.02.2022,4,99,Red Plus
14.02.2022,6,163,Red Plus
14.02.2022,8,228,Red Plus
14.02.2022,10,289,Red Plus
14.02.2022,12,339,Red Plus
14.02.2022,14,389,Red Plus
15.02.2022,4,98,IronWolf
15.02.2022,6,165,IronWolf
15.02.2022,8,219,IronWolf
15.02.2022,10,269,IronWolf
15.02.2022,12,323,IronWolf
15.02.2022,16,480,IronWolf
15.02.2022,4,99,Red Plus
15.02.2022,6,163,Red Plus
15.02.2022,8,228,Red Plus
15.02.2022,10,289,Red Plus
15.02.2022,12,339,Red Plus
15.02.2022,14,389,Red Plus
16.02.2022,4,98,IronWolf
16.02.2022,6,165,IronWolf
16.02.2022,8,219,IronWolf
16.02.2022,10,269,IronWolf
16.02.2022,12,323,IronWolf
16.02.2022,16,480,IronWolf
16.02.2022,4,99,Red Plus
16.02.2022,6,163,Red Plus
16.02.2022,8,228,Red Plus
16.02.2022,10,289,Red Plus
16.02.2022,12,339,Red Plus
16.02.2022,14,389,Red Plus
17.02.2022,4,98,IronWolf
17.02.2022,6,164,IronWolf
17.02.2022,8,223,IronWolf
17.02.2022,10,269,IronWolf
17.02.2022,12,323,IronWolf
17.02.2022,16,480,IronWolf
17.02.2022,4,99,Red Plus
17.02.2022,6,163,Red Plus
17.02.2022,8,228,Red Plus
17.02.2022,10,289,Red Plus
17.02.2022,12,339,Red Plus
17.02.2022,14,389,Red Plus
18.02.2022,4,98,IronWolf
18.02.2022,6,166,IronWolf
18.02.2022,8,225,IronWolf
18.02.2022,10,269,IronWolf
18.02.2022,12,319,IronWolf
18.02.2022,16,474,IronWolf
18.02.2022,4,99,Red Plus
18.02.2022,6,163,Red Plus
18.02.2022,8,228,Red Plus
18.02.2022,10,289,Red Plus
18.02.2022,12,339,Red Plus
18.02.2022,14,389,Red Plus
19.02.2022,4,98,IronWolf
19.02.2022,6,166,IronWolf
19.02.2022,8,225,IronWolf
19.02.2022,10,269,IronWolf
19.02.2022,12,319,IronWolf
19.02.2022,16,474,IronWolf
19.02.2022,4,99,Red Plus
19.02.2022,6,163,Red Plus
19.02.2022,8,228,Red Plus
19.02.2022,10,289,Red Plus
19.02.2022,12,339,Red Plus
19.02.2022,14,389,Red Plus
20.02.2022,4,98,IronWolf
20.02.2022,6,166,IronWolf
20.02.2022,8,225,IronWolf
20.02.2022,10,269,IronWolf
20.02.2022,12,319,IronWolf
20.02.2022,16,474,IronWolf
20.02.2022,4,99,Red Plus
20.02.2022,6,163,Red Plus
20.02.2022,8,228,Red Plus
20.02.2022,10,289,Red Plus
20.02.2022,12,339,Red Plus
20.02.2022,14,389,Red Plus
21.02.2022,4,98,IronWolf
21.02.2022,6,166,IronWolf
21.02.2022,8,225,IronWolf
21.02.2022,10,269,IronWolf
21.02.2022,12,319,IronWolf
21.02.2022,16,474,IronWolf
21.02.2022,4,89,Red Plus
21.02.2022,6,143,Red Plus
21.02.2022,8,228,Red Plus
21.02.2022,10,249,Red Plus
21.02.2022,12,299,Red Plus
21.02.2022,14,389,Red Plus
22.02.2022,4,98,IronWolf
22.02.2022,6,166,IronWolf
22.02.2022,8,225,IronWolf
22.02.2022,10,269,IronWolf
22.02.2022,12,319,IronWolf
22.02.2022,16,474,IronWolf
22.02.2022,4,89,Red Plus
22.02.2022,6,143,Red Plus
22.02.2022,8,228,Red Plus
22.02.2022,10,249,Red Plus
22.02.2022,12,299,Red Plus
22.02.2022,14,389,Red Plus
23.02.2022,4,98,IronWolf
23.02.2022,6,166,IronWolf
23.02.2022,8,225,IronWolf
23.02.2022,10,269,IronWolf
23.02.2022,12,319,IronWolf
23.02.2022,16,474,IronWolf
23.02.2022,4,89,Red Plus
23.02.2022,6,143,Red Plus
23.02.2022,8,228,Red Plus
23.02.2022,10,249,Red Plus
23.02.2022,12,299,Red Plus
23.02.2022,14,389,Red Plus
24.02.2022,4,98,IronWolf
24.02.2022,6,166,IronWolf
24.02.2022,8,225,IronWolf
24.02.2022,10,269,IronWolf
24.02.2022,12,319,IronWolf
24.02.2022,16,474,IronWolf
24.02.2022,4,89,Red Plus
24.02.2022,6,143,Red Plus
24.02.2022,8,228,Red Plus
24.02.2022,10,249,Red Plus
24.02.2022,12,339,Red Plus
24.02.2022,14,389,Red Plus
25.02.2022,4,98,IronWolf
25.02.2022,6,166,IronWolf
25.02.2022,8,225,IronWolf
25.02.2022,10,269,IronWolf
25.02.2022,12,319,IronWolf
25.02.2022,16,474,IronWolf
25.02.2022,4,89,Red Plus
25.02.2022,6,143,Red Plus
25.02.2022,8,228,Red Plus
25.02.2022,10,249,Red Plus
25.02.2022,12,339,Red Plus
25.02.2022,14,389,Red Plus
05.03.2022,4,86,IronWolf
05.03.2022,6,144,IronWolf
05.03.2022,8,189,IronWolf
05.03.2022,10,269,IronWolf
05.03.2022,12,279,IronWolf
05.03.2022,16,,IronWolf
05.03.2022,4,99,Red Plus
05.03.2022,6,163,Red Plus
05.03.2022,8,223,Red Plus
05.03.2022,10,289,Red Plus
05.03.2022,12,339,Red Plus
05.03.2022,14,399,Red Plus
06.03.2022,4,86,IronWolf
06.03.2022,6,144,IronWolf
06.03.2022,8,189,IronWolf
06.03.2022,10,276,IronWolf
06.03.2022,12,279,IronWolf
06.03.2022,16,,IronWolf
06.03.2022,4,99,Red Plus
06.03.2022,6,163,Red Plus
06.03.2022,8,223,Red Plus
06.03.2022,10,289,Red Plus
06.03.2022,12,339,Red Plus
06.03.2022,14,399,Red Plus
07.03.2022,4,86,IronWolf
07.03.2022,6,144,IronWolf
07.03.2022,8,189,IronWolf
07.03.2022,10,279,IronWolf
07.03.2022,12,279,IronWolf
07.03.2022,16,,IronWolf
07.03.2022,4,99,Red Plus
07.03.2022,6,163,Red Plus
07.03.2022,8,223,Red Plus
07.03.2022,10,289,Red Plus
07.03.2022,12,339,Red Plus
07.03.2022,14,399,Red Plus
08.03.2022,4,86,IronWolf
08.03.2022,6,144,IronWolf
08.03.2022,8,189,IronWolf
08.03.2022,10,279,IronWolf
08.03.2022,12,279,IronWolf
08.03.2022,16,,IronWolf
